Date_year_month,c,c#,c++,java,javascript,kotlin,php,python,swift,typescript
2017.01,2761,11701,5655,14590,21431,144,12641,14290,4345,1555
2017.02,2728,11507,5171,14589,21195,121,12514,14805,4069,1554
2017.03,2971,12999,6228,17333,23724,182,14082,17152,4622,1841
2017.04,2858,11100,5884,15955,21266,147,12434,15663,3922,1741
2017.05,2744,11997,5306,16356,22406,386,13056,16194,4103,1914
2017.06,2353,11309,4690,14645,21609,556,11771,16042,4205,1875
2017.07,2051,11214,5028,14161,21616,519,11794,16930,4356,1953
2017.08,2047,10958,4792,13767,21369,575,11665,16481,4189,2081
2017.09,2101,9882,4475,12772,19013,497,10705,15467,3780,1876
2017.10,2785,10238,5223,14034,19891,594,10841,16959,3906,1863
2017.11,2956,9806,5040,14198,19427,707,10610,17016,3677,2002
2017.12,2199,8618,4462,11994,16984,589,9146,14962,3206,1741
2018.01,2219,9395,4759,12360,18922,654,10131,16261,3758,1961
2018.02,2147,8587,4565,12048,17239,642,9136,16334,3415,1968
2018.03,2470,9800,5187,13585,19177,801,9840,17925,4065,2238
2018.04,2192,9255,4666,13502,17978,775,8945,17002,3579,2102
2018.05,2371,9937,4690,13488,18087,821,9485,17589,3630,2126
2018.06,1838,8790,4104,11804,17203,781,8446,16825,3157,2105
2018.07,1601,9420,3918,11777,17821,891,8566,17944,3677,2196
2018.08,1691,9530,3931,11377,17927,933,8535,17838,3596,2335
2018.09,1857,8411,3772,10824,16091,860,7735,16094,3153,2165
2018.10,2455,9342,4315,12525,17458,1054,8180,18175,3281,2379
2018.11,2526,8480,4348,11710,16188,990,7097,18030,2990,2081
2018.12,2196,7560,3561,10443,14286,875,6220,15746,2788,1965
2019.01,2289,8762,3907,11033,16033,1054,7190,16963,2911,2338
2019.02,2058,8361,3735,11006,15710,993,7293,17543,2692,2405
2019.03,2385,8965,4425,12051,17343,1088,7799,19931,2959,2448
2019.04,2431,9136,4377,11174,16198,1045,7179,19850,3088,2452
2019.05,2096,9034,4125,11112,16158,1074,6961,18927,3118,2452
2019.06,1727,7615,3647,9657,14831,1124,6018,17260,3097,2352
2019.07,1759,8448,4266,10847,16182,1280,6678,19794,3048,2526
2019.08,1554,7722,3295,9101,15246,1139,5818,18065,2553,2290
2019.09,2007,7848,3781,9684,14907,1208,5577,16914,2560,2333
2019.10,2481,8421,4841,11230,16012,1245,6087,20490,3107,2459
2019.11,2516,8032,4734,10338,15768,1282,6098,20648,2893,2612
2019.12,2152,7222,4209,9054,14334,1144,5246,18150,2676,2408
2020.01,2053,7824,4242,9992,16053,1371,5920,20028,2905,2514
2020.02,1991,7732,4102,10077,15772,1284,5702,20091,2766,2571
2020.03,2493,7805,4656,11098,17607,1442,5699,22775,2925,2709
2020.04,3255,8607,6238,12667,20968,1593,6676,27714,3466,3253
2020.05,3382,8623,6436,12083,21540,1631,6571,29555,3534,3308
2020.06,2601,7923,5641,10860,19902,1490,5970,27201,3179,3054
2020.07,2106,7837,5183,10493,19950,1353,5981,26348,3001,3127
2020.08,1898,7100,4795,9367,18108,1274,5013,23160,2701,2813
2020.09,2174,6487,3943,8989,16838,1379,4804,21865,2579,2781
2020.10,2390,6215,4342,8992,16519,1433,4616,22897,2360,2795
2020.11,2717,5999,4351,8541,15594,1412,4664,22301,2183,2533
2020.12,2661,5798,4478,7930,16186,1325,4863,22467,2143,2502
2021.01,2727,6927,4503,9532,19488,1635,5621,26310,2757,3044
2021.02,2349,6589,4449,9129,17929,1464,5231,24956,2721,2937
2021.03,2643,7304,4715,10387,19781,1644,5553,28123,2903,3530
2021.04,2447,6735,4316,9479,18613,1621,5089,26464,2512,3255
2021.05,2245,6535,4580,9676,18414,1667,5066,26051,2203,3129
2021.06,1998,6418,4171,9195,17627,1727,4854,24538,2117,3189
2021.07,1718,5933,3784,8342,17350,1636,4613,24120,2272,3164
2021.08,1620,5762,3480,7955,17059,1661,4587,23142,2200,3265
2021.09,1805,5768,3923,7813,16718,1659,4327,21989,1938,3233
2021.10,2210,6072,4100,7834,16301,1568,4312,23072,1857,3330
2021.11,2348,6446,4196,8350,15938,1730,4169,23575,1776,3178
2021.12,2400,6230,4134,8199,16354,1622,4242,23643,1824,3157
